"Ссылка","Описание источника","Категория"
http://hunter-general.narod.ru/,"Лаптевы","Родословные"
http://www.matusewicz.org/,"Матусевичи","Родословные"
http://rod.meller.su/,"Меллеры","Родословные"
http://www.mukhanov.ru/,"Мухановы","Родословные"
http://sgd.ucoz.ru/,"Никифоровы","Родословные"
http://anshar.livejournal.com/,"Омельянчук","Родословные"
http://palashkina.narod.ru/,"Палашкины","Родословные"
http://potanin.clan.su/,"Потанины","Родословные"
http://www.remezovi.ru/,"Ремезовы","Родословные"
http://www.serdyuk.com/,"Сердюк","Родословные"
http://sedfed.ucoz.ru/,"Седельниковы","Родословные"
http://bolknote.ru/,"Степанищевы","Родословные"
http://toporov.info/,"Топоров","Родословные"
http://www.shabrov.ru/,"Шабровы","Родословные"
http://shehovtsev.narod.ru/,"Шехавцовы","Родословные"
http://genealogy.chiginskiy.ru/,"Чигинские","Родословные"
http://www.mckusick.org/,"MkKusick","Родословные"
http://rod.16mb.com/,"История нашей семьи","Родословные"
http://www.rusdeutsch.ru/,"Книга Памяти советских немцев-узников Тагиллага","Источники"
http://en.auschwitz.org/,"Узники Auschwitz","Источники"
http://www.ushmm.org/,"Жертвы Холокоста","Источники"
http://jewishgen.org/,"Данные по еврейским общинам на территории Российской Империи","Источники"
https://ru.wikipedia.org/,"Википедия","Источники"
http://www.petergen.com/,"Петербургский генеалогический портал","Сообщество"
http://rodmurmana.narod.ru/,"Мурманское родословное общество","Сообщество"
http://www.radzima.net/,"Найди свои корни в Беларуси и Литве","Сообщество"
http://forum.yar-genealogy.ru/,"Ярославское историко-родословное общество","Сообщество"
http://forum.molgen.org/,"Молекулярная генеалогия","Сообщество"
http://www.genealogia.ru/forum/,"Генеалоги.ру","Сообщество"
http://rodgersforum.borda.ru/,"Форум Уральской генеалогии","Сообщество"
http://forum.litera-ru.ru/,"Форум Литера Ру","Сообщество"
http://ufagen.ru/forum/,"Уфимский генеалогический портал.","Сообщество"
http://forum.genoua.name/,"Международный генеалогический форум Генео","Сообщество"
http://*.rusarchives.ru/,"Архивы России","Источники"
http://rusgenealogy.clan.su/forum/,"Наши родные...","Сообщество"
http://*.svrt.ru/,"Союз возрождения родовых традиций","Сообщество"
http://*.vgd.ru/,"Генеалогический форум ВГД","Сообщество"
https://www.flickr.com/groups/greatwararchive/pool/,"Народная электронная коллекция фотографий и документов Первой мировой войны","Источники"
http://people.bmstu.ru/,"Список выпускников и преподавателей ИМТУ, МММИ, МВТУ, МГТУ с 1865 до 2012 года.","Источники"
http://www.pobediteli.ru/,"Победители","Источники"
http://www.rkka.ru/,"РККА","Сообщество"
http://www.soldat.ru/,"Солдат","Сообщество"
http://pobeda.elar.ru/,"Календарь Победы","Источники"
http://www.arkisto.fi/,"Архив Финляндии","Источники"
http://rgakfd.ru/,"Российский Государственный Архив Кинофотодокументов","Источники"
http://kgbdocuments.eu/,"Документы КГБ в интернете","Источники"
https://poisk.vid.ru/,"Жди меня","Сообщество"
http://libinfo.org/,"Библиотека исторической информации","Источники"
http://gbooks.archeologia.ru/,"GBooks","Источники"
http://elibrary.rsl.ru/,"Электронная библиотека","Источники"
http://www.bibliophika.ru/,"Bibliophika Электронная библиотека ГПИБ России","Источники"
http://www.polk.ru/,"Забытый полк","Сообщество"
http://bdsa.ru/,"Боевые действия Красной армии в ВОВ","Сообщество"
http://*.j-roots.info/,"Еврейские корни","Сообщество"
http://kraeved.opck.org/,"История Оренбуржья","Сообщество"
http://www.kyrgyz.ru/,"Центральноазиатский исторический сервер","Сообщество"
http://pomnite-nas.ru/,"Помните нас!","Сообщество"
http://niznov-nekropol.ucoz.ru/,"Нижегородский некрополь","Источники"
http://www.kalmistud.ee/rus/,"Портал кладбищ Эстонии","Источники"
http://arm-iro.com/,"Армянское Историко Родословное Общество","Сообщество"
http://www.gen-volga.ru/,"Царицынское ИРО","Сообщество"
http://karpinskie.narod.ru/,"Карпинские","Родословные"
http://kfinkelshteyn.narod.ru/,"Шепеленко","Родословные"
http://www.golovin.com/,"Головин","Родословные"
http://www.alfeev.ru/,"Алфеев","Родословные"
http://www.lfix.co.uk/oliver/us.elphtree.html,"Elphick","Родословные"
http://www.poslednyadres.ru/order_sign/,"Фонд последний адрес","Источники"
http://*.yadvashem.org/,"Мемориальный комплекс истории холокоста","Источники"
http://www.sakharov-center.ru/asfcd/pam/,"Памятники жертвам политических репрессий на территории бывшего СССР","Источники"
http://www.penzagen.ru/,"Земля Пензенская","Сообщество"
http://www.thepeerage.com/,"Britain royal families","Родословные"
http://www.karagodin.info/,"Карагодин","Родословные"
http://gwar.mil.ru,"Памяти героев Великой Войны 1914-1918","Источники"
https://openlist.wiki,"Открытый список","Сообщество"
http://auschwitz.ru/,"Аушвиц. Советсткие военопленные в концентрационном лагере Освенцим.","Сообщество"
http://prozhito.org/,"Прожито","Сообщество"
https://russiainphoto.ru/,"История России в фотографиях","Сообщество"
http://www.rusalbom.ru/,"Большой Русский альбом","Сообщество"
https://artdoc.media/,"Архив и онлайн-сеансы документального кино на русском языке","Сообщество"
https://stepanivanovichkaragodin.org/,"Расследование в отношении судьбы КАРАГОДИНА Степана Ивановича","Родословные"
